experiment,model,accuracy,precision,recall,f1_macro,f1_noise,f1_speech,latency_ms,size_kb,n_params
exp2_clean_musan,SileroVAD,0.4829,0.4598,0.4829,0.396,0.1669,0.6251,N/A,~1800,~1M
exp3_alaw_musan,SileroVAD,0.4848,0.4644,0.4848,0.3985,0.1706,0.6264,N/A,~1800,~1M
